"year","str_julian","end_julian","duration","str_date","end_date"
2012,237,249,13,2012-08-24,2012-09-05
2013,206,260,55,2013-07-25,2013-09-17
2014,150,262,113,2014-05-30,2014-09-19
2015,153,232,80,2015-06-02,2015-08-20
2016,153,223,71,2016-06-01,2016-08-10
2017,221,249,29,2017-08-09,2017-09-06
2018,143,271,129,2018-05-23,2018-09-28
2019,128,241,114,2019-05-08,2019-08-29
2020,122,224,103,2020-05-01,2020-08-11
2021,158,246,89,2021-06-07,2021-09-03
2022,165,258,94,2022-06-14,2022-09-15
2023,124,216,93,2023-05-04,2023-08-04
